Rank,Term,Adjusted_P,Library,Overlapping_genes,Combined_Score,P_Value,Library_clean,Term_clean,MinusLog10AdjP,Candidate_Name,Overlap_Count,Anchor_Hit_Count,Core8_Hit_Count,Anchor_Hits,Core8_Hits,Candidate_Class
15,LJP005 SKBR3 24H-withaferin-a-0.37,0.0215872802391319,LINCS_L1000_Chem_Pert_down,STAT1;IRF1;TAP1;F2RL1;GBP1,177.40038716182,2.3744900167704e-5,LINCS L1000 chemical perturbations (down),LJP005 SKBR3 24H-withaferin-a-0.37,1.66580207056719,Ljp005 Skbr3 24h-Withaferin-A-0.37,5,2,2,STAT1;GBP1,STAT1;GBP1,Unmapped_or_genetic_signature
16,LJP005 HS578T 3H-TG-101348-1.11,0.0225112941326933,LINCS_L1000_Chem_Pert_down,IFI44;IGF2BP3;GBP2;GBP1;IFI44L,171.436636135462,2.64120192214631e-5,LINCS L1000 chemical perturbations (down),LJP005 HS578T 3H-TG-101348-1.11,1.6475995374947234,Ljp005 Hs578t 3h-Tg-101348-1.11,5,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
67,quercetin DB04216 mouse GSE4262 sample 3428,0.0248477841452501,Drug_Perturbations_from_GEO_down,ZBP1;SOCS3;CEACAM1;SCO2;ADM;ATF3;SIGLEC5,25.1052556042131,0.00226195861104859,GEO drug perturbations (down),quercetin DB04216 mouse GSE4262 sample 3428,1.6047123343511074,Quercetin,7,0,0,,,Candidate_drug_or_compound
68,Chlorpyrifos 2730 human GSE5023 sample 3571,0.0250596012899812,Drug_Perturbations_from_GEO_down,IFITM3;ABCA1;IFITM1;STAT1;IFI6;IFI44L;QKI,24.9010673110096,0.00231528924961782,GEO drug perturbations (down),Chlorpyrifos 2730 human GSE5023 sample 3571,1.6010258431159528,Chlorpyrifos,7,1,2,STAT1,STAT1;IFI6,Candidate_drug_or_compound
69,resveratrol DB02709 human GSE36930 sample 3497,0.0281917921883512,Drug_Perturbations_from_GEO_down,GBP5;IFITM1;RNF213;STAT1;IRF1;TAP1;JAM3;TAPBP,21.2881181357073,0.00264298051765792,GEO drug perturbations (down),resveratrol DB02709 human GSE36930 sample 3497,1.5498773145941311,Resveratrol,8,1,1,STAT1,STAT1,Candidate_drug_or_compound
70,Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3116,0.0288866212771969,Drug_Perturbations_from_GEO_down,ABCA1;TLR1;RTP4;MYOF;IRF7;IGF2BP3;PARP14;IFI44L,21.0101568462001,0.00274736887147253,GEO drug perturbations (down),Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3116,1.5393032524265133,Cobalt Dichloride Hexahydrate,8,0,1,,IRF7,Candidate_drug_or_compound
71,PLX4032 DB05238 human GSE24862 sample 2568,0.0290332122305942,Drug_Perturbations_from_GEO_down,CD274;IL4R;MCTP1;GCH1;SESTD1;CASP4;F2RL1;LHFPL2,20.8729639234064,0.00280075824507091,GEO drug perturbations (down),PLX4032 DB05238 human GSE24862 sample 2568,1.537104911228453,Plx4032,8,0,0,,,Candidate_drug_or_compound
72,carboplatin DB00958 human GSE49577 sample 3176,0.0303171351710877,Drug_Perturbations_from_GEO_down,DTX3L;IFI6;EPSTI1;ADM;TLR5;GAS6;MYL9;CACNA1E,20.4683766371499,0.00296580670151945,GEO drug perturbations (down),carboplatin DB00958 human GSE49577 sample 3176,1.5183118399189732,Carboplatin,8,0,1,,IFI6,Candidate_drug_or_compound
73,rituximab DB00073 human GSE24742 sample 2514,0.0310530456666686,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;PLSCR1;TNFAIP6;STAT1;LAP3;GBP1;TLR2,20.2043488957012,0.00307998958378642,GEO drug perturbations (down),rituximab DB00073 human GSE24742 sample 2514,1.5078957980200867,Rituximab,8,2,2,STAT1;GBP1,STAT1;GBP1,Biologic_or_immunomodulator
74,estradiol 5757 human GSE24592 sample 3346,0.0329007890724806,Drug_Perturbations_from_GEO_down,HCAR3;RSAD2;LIMK2;FFAR2;GBP1;CREB5;TLR2,21.9190860579424,0.00330795977087441,GEO drug perturbations (down),estradiol 5757 human GSE24592 sample 3346,1.4827936860708562,Estradiol,7,1,1,GBP1,GBP1,Candidate_drug_or_compound
75,nicotinamide riboside 439924 mouse GSE62194 sample 3468,0.0349089759968986,Drug_Perturbations_from_GEO_down,IFITM3;ACTA2;CD274;SOCS3;RSAD2;GCH1;IFIT2;TLR2,19.1916836688406,0.00357139495269752,GEO drug perturbations (down),nicotinamide riboside 439924 mouse GSE62194 sample 3468,1.4570628903843004,Nicotinamide Riboside,8,0,1,,IFIT2,Candidate_drug_or_compound
76,resveratrol DB02709 human GSE25412 sample 3501,0.0349089759968986,Drug_Perturbations_from_GEO_down,IFIH1;OAS1;ANKRD22;XAF1;DDX60;PARP9;IFI44L;IFIT3;LMNB1,17.5946741744947,0.00360473121707106,GEO drug perturbations (down),resveratrol DB02709 human GSE25412 sample 3501,1.4570628903843004,Resveratrol,9,0,2,,PARP9;IFIT3,Candidate_drug_or_compound
77,etanercept DB00005 human GSE11903 sample 2608,0.0362231452112099,Drug_Perturbations_from_GEO_down,RTP4;HCAR3;APOL6;KCNJ15;ADM;HPSE;TLR2,20.7651564557744,0.00383251491614921,GEO drug perturbations (down),etanercept DB00005 human GSE11903 sample 2608,1.4410138431282724,Etanercept,7,0,0,,,Biologic_or_immunomodulator
78,etanercept DB00005 human GSE41663 sample 2603,0.0362231452112099,Drug_Perturbations_from_GEO_down,PRRG4;HCAR3;PSTPIP2;MIR21;HPSE;GBP2;KCNJ2;LMNB1,18.7101203218429,0.00383886593270974,GEO drug perturbations (down),etanercept DB00005 human GSE41663 sample 2603,1.4410138431282724,Etanercept,8,0,0,,,Biologic_or_immunomodulator
79,VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554,0.0364490503080768,Drug_Perturbations_from_GEO_down,APOL6;GK;MAZ;IFI44L;ATF3;IFIT3;IFIT2,20.6069961243521,0.00391233012817672,GEO drug perturbations (down),VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554,1.4383137828833157,Vanadium Pentoxide,7,0,2,,IFIT3;IFIT2,Candidate_drug_or_compound
81,heroin 5462328 mouse GSE30305 sample 2611,0.0370339295326062,Drug_Perturbations_from_GEO_down,SOCS3;SOCS1;SERPING1;LHFPL2;MYL9;KCNJ2;GADD45G,20.2954676999775,0.00407574496214824,GEO drug perturbations (down),heroin 5462328 mouse GSE30305 sample 2611,1.431400204132437,Heroin,7,0,0,,,Candidate_drug_or_compound
80,angiotensin II 172198 mouse GSE29145 sample 3216,0.0370339295326062,Drug_Perturbations_from_GEO_down,SOCS3;IFITM1;PLSCR1;TNFAIP6;GCH1;ATF3;IL18R1;GADD45G,18.35921042419,0.00404945114322651,GEO drug perturbations (down),angiotensin II 172198 mouse GSE29145 sample 3216,1.431400204132437,Angiotensin Ii,8,0,0,,,Candidate_drug_or_compound
82,NICKEL CHLORIDE 24385 rat GSE31503 sample 3278,0.0389900083515114,Drug_Perturbations_from_GEO_down,IFITM3;MTHFD2;CASP4;TAP2;SERPING1;F2RL1;PIK3AP1;IFI44L,17.9044880948342,0.00434399549568469,GEO drug perturbations (down),NICKEL CHLORIDE 24385 rat GSE31503 sample 3278,1.4090466717877792,Nickel Chloride,8,0,0,,,Exposure_or_toxicant
17,LJP005 BT20 24H-TG-101348-10,0.039554982632266,LINCS_L1000_Chem_Pert_down,IFITM1;ANXA3;MYOF;GBP2;GBP1;LMNB1,100.852328715186,4.93095772346206e-5,LINCS L1000 chemical perturbations (down),LJP005 BT20 24H-TG-101348-10,1.4027988018401196,Ljp005 Bt20 24h-Tg-101348-10,6,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
18,CPC020 VCAP 24H-norethindrone-10.0,0.0424640183392945,LINCS_L1000_Chem_Pert_down,DUSP3;GK;ANXA3;ADM;GAS6;MYL9,97.1407973904759,5.60498885464033e-5,LINCS L1000 chemical perturbations (down),CPC020 VCAP 24H-norethindrone-10.0,1.3719789112531895,Cpc020 Vcap 24h-Norethindrone-10.0,6,0,0,,,Candidate_drug_or_compound
19,CPC011 VCAP 24H-ftorafur-10.0,0.0424800746298363,LINCS_L1000_Chem_Pert_down,ABCA1;DUSP3;GK;ADM;MYL9,129.630971773682,6.23012020676634e-5,LINCS L1000 chemical perturbations (down),CPC011 VCAP 24H-ftorafur-10.0,1.3718147289487714,Cpc011 Vcap 24h-Ftorafur-10.0,5,0,0,,,Candidate_drug_or_compound
20,LJP006 MCF10A 24H-HG-6-64-01-3.33,0.0424800746298363,LINCS_L1000_Chem_Pert_down,ANXA3;IGF2BP3;LAP3;MYL9;GBP1,129.630971773682,6.23012020676634e-5,LINCS L1000 chemical perturbations (down),LJP006 MCF10A 24H-HG-6-64-01-3.33,1.3718147289487714,Ljp006 Mcf10a 24h-Hg-6-64-01-3.33,5,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
21,LJP008 HEPG2 24H-GSK-461364-0.12,0.0457708783173697,LINCS_L1000_Chem_Pert_down,IFITM1;TNFAIP6;GCH1;IFI44;IFI44L,122.537978382711,7.38402378075922e-5,LINCS L1000 chemical perturbations (down),LJP008 HEPG2 24H-GSK-461364-0.12,1.3394107536262922,Ljp008 Hepg2 24h-Gsk-461364-0.12,5,0,0,,,Unmapped_or_genetic_signature
22,LJP008 HCC515 24H-KU-55933-10,0.0457708783173697,LINCS_L1000_Chem_Pert_down,IFI6;IFI44;IFI44L;KCNJ2;LMNB1,122.537978382711,7.38402378075922e-5,LINCS L1000 chemical perturbations (down),LJP008 HCC515 24H-KU-55933-10,1.3394107536262922,Ljp008 Hcc515 24h-Ku-55933-10,5,0,1,,IFI6,Unmapped_or_genetic_signature
24,LJP005 BT20 24H-pelitinib-10,0.0475553201151684,LINCS_L1000_Chem_Pert_down,SCO2;STAT1;MYOF;IFI44L;QKI,116.040574889287,8.69589745853543e-5,LINCS L1000 chemical perturbations (down),LJP005 BT20 24H-pelitinib-10,1.3228008905579909,Ljp005 Bt20 24h-Pelitinib-10,5,1,1,STAT1,STAT1,Unmapped_or_genetic_signature
26,LJP005 SKBR3 3H-NVP-AUY922-10,0.0475553201151684,LINCS_L1000_Chem_Pert_down,IFITM3;STAT1;IFI6;IFI44L;LMNB1,112.993594511375,9.41551399215039e-5,LINCS L1000 chemical perturbations (down),LJP005 SKBR3 3H-NVP-AUY922-10,1.3228008905579909,Ljp005 Skbr3 3h-Nvp-Auy922-10,5,1,2,STAT1,STAT1;IFI6,Unmapped_or_genetic_signature
27,LJP006 A549 24H-XMD11-85H-10,0.0475553201151684,LINCS_L1000_Chem_Pert_down,ACTA2;ABCA1;TNFAIP6;KCNJ15;TRIM22,112.993594511375,9.41551399215039e-5,LINCS L1000 chemical perturbations (down),LJP006 A549 24H-XMD11-85H-10,1.3228008905579909,Ljp006 A549 24h-Xmd11-85h-10,5,0,0,,,Unmapped_or_genetic_signature
23,LJP005 BT20 24H-XMD16-144-10,0.0475553201151684,LINCS_L1000_Chem_Pert_down,IFITM3;ANXA3;MYOF;ADM;IGF2BP3;GBP1,87.1814410304951,8.07954585429152e-5,LINCS L1000 chemical perturbations (down),LJP005 BT20 24H-XMD16-144-10,1.3228008905579909,Ljp005 Bt20 24h-Xmd16-144-10,6,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
25,LJP006 HCC515 24H-AZD-5438-1.11,0.0475553201151684,LINCS_L1000_Chem_Pert_down,IFITM1;OAS1;ANXA3;IFI44;IFI44L;IFIT3;TRIM22,67.5520504739817,9.06355853722808e-5,LINCS L1000 chemical perturbations (down),LJP006 HCC515 24H-AZD-5438-1.11,1.3228008905579909,Ljp006 Hcc515 24h-Azd-5438-1.11,7,0,1,,IFIT3,Unmapped_or_genetic_signature
29,LJP009 MCF7 24H-dasatinib-10,0.0478707133635569,LINCS_L1000_Chem_Pert_down,GCH1;IRF1;F2RL1;ADM;GBP1,110.070842834078,1.0180029973917e-4,LINCS L1000 chemical perturbations (down),LJP009 MCF7 24H-dasatinib-10,1.3199301006662034,Ljp009 Mcf7 24h-Dasatinib-10,5,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
28,LJP006 MCF10A 3H-gefitinib-0.12,0.0478707133635569,LINCS_L1000_Chem_Pert_down,IFITM1;ANXA3;F2RL1;ADM;IGF2BP3;GBP1,81.3830591581663,1.0164164683721e-4,LINCS L1000 chemical perturbations (down),LJP006 MCF10A 3H-gefitinib-0.12,1.3199301006662034,Ljp006 Mcf10a 3h-Gefitinib-0.12,6,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
