Rank,Term,Adjusted_P,Library,Overlapping_genes,Combined_Score,P_Value,Library_clean,Term_clean,MinusLog10AdjP,Candidate_Name,Overlap_Count,Anchor_Hit_Count,Core8_Hit_Count,Anchor_Hits,Core8_Hits,Candidate_Class
32,"2,3-dimethoxy-1,4-naphtoquinone (DMNQ) 3136 human GSE39843 sample 3681",1.3927584079538e-4,Drug_Perturbations_from_GEO_down,HCAR3;AIM2;TNFAIP6;LIMK2;IRF1;IFI6;EPSTI1;GBP2;DDX60;TLR5;GBP1;IFIT2,65.6374276627946,6.05547133892984e-6,GEO drug perturbations (down),"2,3-dimethoxy-1,4-naphtoquinone (DMNQ) 3136 human GSE39843 sample 3681",3.856124211064953,"2,3-Dimethoxy-1,4-Naphtoquinone (Dmnq)",12,1,3,GBP1,IFI6;GBP1;IFIT2,Candidate_drug_or_compound
33,HYPOCHLOROUS ACID 24341 human GSE11630 sample 3202,2.663442283202e-4,Drug_Perturbations_from_GEO_down,HCAR3;IFITM1;PLSCR1;RSAD2;ANXA3;IFI44;ADM;DDX60;IFIT3;TRIM22;IFIT2,63.1548655120745,1.19420645850091e-5,GEO drug perturbations (down),HYPOCHLOROUS ACID 24341 human GSE11630 sample 3202,3.574556709939213,Hypochlorous Acid,11,0,2,,IFIT3;IFIT2,Exposure_or_toxicant
34,sunitinib 5329102 rat GSE6929 sample 2491,3.2391514191295e-4,Drug_Perturbations_from_GEO_down,C1QB;RSAD2;MYOF;ADCY3;IFIT3;ACTA2;TLR1;MTHFD2;IRF7;MYL9;ATF3;GBP4;SIGLEC5,51.1311761987853,1.49634712296746e-5,GEO drug perturbations (down),sunitinib 5329102 rat GSE6929 sample 2491,3.489568749749831,Sunitinib,13,0,2,,IFIT3;IRF7,Candidate_drug_or_compound
4,LJP006 PC3 24H-BI-2536-0.37,4.256292524907e-4,LINCS_L1000_Chem_Pert_down,IFITM3;IFITM1;TNFAIP6;RSAD2;KCNJ15;IFI44;IFI44L;IFIT3,253.05966052699,1.24845421277613e-7,LINCS L1000 chemical perturbations (down),LJP006 PC3 24H-BI-2536-0.37,3.3709685316558695,Ljp006 Pc3 24h-Bi-2536-0.37,8,0,1,,IFIT3,Unmapped_or_genetic_signature
35,Vitamin D3 DB00136 human GSE5145 sample 3170,4.4355223937475e-4,Drug_Perturbations_from_GEO_down,DTX3L;PSTPIP2;IRF1;IRF7;CARD16;DDX60;GBP1;NAIP;ATF3;IFIT3;IFIT2,55.9774386320225,2.15679638835536e-5,GEO drug perturbations (down),Vitamin D3 DB00136 human GSE5145 sample 3170,3.3530552237778184,Vitamin D3,11,1,4,GBP1,IRF7;GBP1;IFIT3;IFIT2,Candidate_drug_or_compound
36,VX 39793 human GSE33606 sample 3376,4.4355223937475e-4,Drug_Perturbations_from_GEO_down,C1QB;DHRS9;ANXA3;MYOF;RHBDF2;EPSTI1;MIR21;ADM;GBP1;IFI44L;CREB5;C1QC,51.2786841353461,2.16954899694171e-5,GEO drug perturbations (down),VX 39793 human GSE33606 sample 3376,3.3530552237778184,Vx,12,1,1,GBP1,GBP1,Candidate_drug_or_compound
37,celecoxib DB00482 human GSE11237 sample 3296,5.9145383587611e-4,Drug_Perturbations_from_GEO_down,RSAD2;OAS1;STAT1;P2RY14;TAP2;IFI6;IFI44;F2RL1;IGF2BP3;MYL9;ATF3;IFIT3,48.1165662742988,2.97334129448591e-5,GEO drug perturbations (down),celecoxib DB00482 human GSE11237 sample 3296,3.228079147243442,Celecoxib,12,1,3,STAT1,STAT1;IFI6;IFIT3,Candidate_drug_or_compound
38,Oprelvekin DB00038 human GSE8762 sample 3297,6.4753491926121e-4,Drug_Perturbations_from_GEO_down,GBP5;HCAR3;AIM2;RSAD2;ANKRD22;SERPING1;HPSE;AP5B1;IFIT3;LMNB1,56.3435846263275,3.34325094183777e-5,GEO drug perturbations (down),Oprelvekin DB00038 human GSE8762 sample 3297,3.1887368066543638,Oprelvekin,10,0,1,,IFIT3,Candidate_drug_or_compound
39,progesterone 5994 rat GSE8238 sample 3526,7.5716752712378e-4,Drug_Perturbations_from_GEO_down,IFITM3;RTP4;RSAD2;IRF7;IFI44;SERPING1;UBE2L6;GBP2,70.1878787528359,4.0121648855744e-5,GEO drug perturbations (down),progesterone 5994 rat GSE8238 sample 3526,3.120808020029642,Progesterone,8,0,1,,IRF7,Candidate_drug_or_compound
40,Curcumin CID 969516 human GSE10896 sample 3258,9.5083757836381e-4,Drug_Perturbations_from_GEO_down,IFITM1;DTX3L;OAS1;MTHFD2;STAT1;IFI6;UBE2L6;ADM;ATF3;IFIT3;TRIM22,46.4909363229653,5.16759553458595e-5,GEO drug perturbations (down),Curcumin CID 969516 human GSE10896 sample 3258,3.0218936627100104,Curcumin Cid,11,1,3,STAT1,STAT1;IFI6;IFIT3,Candidate_drug_or_compound
41,HYPOCHLOROUS ACID 24341 human GSE11630 sample 3198,9.899133228284e-4,Drug_Perturbations_from_GEO_down,IFITM3;HCAR3;IFITM1;PLSCR1;DHRS9;IFI44;MIR21;ADM;DDX60;IFIT3;TRIM22;IFIT2,42.3239608928032,5.51446280379951e-5,GEO drug perturbations (down),HYPOCHLOROUS ACID 24341 human GSE11630 sample 3198,3.004402830720956,Hypochlorous Acid,12,0,2,,IFIT3;IFIT2,Exposure_or_toxicant
42,FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244,0.00121032123461591,Drug_Perturbations_from_GEO_down,AIM2;GK;OAS1;GCH1;ANKRD22;IRF1;GBP2;GBP4;IFIT3;APOL2,47.8288302423669,6.90672443666689e-5,GEO drug perturbations (down),FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244,2.9170993471169964,Fgfr-Specific Pd173074 Inhibitor,10,0,1,,IFIT3,Candidate_drug_or_compound
43,HYPOCHLOROUS ACID 24341 human GSE11630 sample 3200,0.00132455164122298,Drug_Perturbations_from_GEO_down,HCAR3;IFITM1;RSAD2;DHRS9;IFI44;ADM;LAP3;DDX60;IFIT3;IFIT2,46.5859337495053,7.7385489908408e-5,GEO drug perturbations (down),HYPOCHLOROUS ACID 24341 human GSE11630 sample 3200,2.8779311048933827,Hypochlorous Acid,10,0,2,,IFIT3;IFIT2,Exposure_or_toxicant
44,estradiol DB00783 human GSE24592 sample 2732,0.00149575364336996,Drug_Perturbations_from_GEO_down,HCAR3;LIMK2;F2RL1;GBP2;GBP1;ATF3;IFIT3;CREB5;IFIT2,50.0317967001132,9.05216270566042e-5,GEO drug perturbations (down),estradiol DB00783 human GSE24592 sample 2732,2.8251399306262854,Estradiol,9,1,3,GBP1,GBP1;IFIT3;IFIT2,Candidate_drug_or_compound
45,Heregulin 56310950 human GSE22288 sample 3215,0.00149575364336996,Drug_Perturbations_from_GEO_down,TLR1;GRAMD1B;SAMD9L;CEACAM1;ANKRD22;IRF1;F2RL1;GBP2;ATF3;IFIT2,44.8034457094895,9.14523287386525e-5,GEO drug perturbations (down),Heregulin 56310950 human GSE22288 sample 3215,2.8251399306262854,Heregulin,10,0,1,,IFIT2,Candidate_drug_or_compound
46,dasatinib DB01254 human GSE59357 sample 3306,0.00154558220726834,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;IFI6;ADM;FBXO6;GBP2;MYL9;IFI44L;GBP4;JAM3,44.2300884594371,9.65988879542713e-5,GEO drug perturbations (down),dasatinib DB01254 human GSE59357 sample 3306,2.8109078904948706,Dasatinib,10,0,1,,IFI6,Candidate_drug_or_compound
47,estradiol DB00783 human GSE46924 sample 2487,0.00261002211724863,Drug_Perturbations_from_GEO_down,HCAR3;OAS1;IFI6;IFI44;MIR21;LHFPL2;DDX60;IFI44L,48.6448038942048,1.6667260803082e-4,GEO drug perturbations (down),estradiol DB00783 human GSE46924 sample 2487,2.5833558124477967,Estradiol,8,0,1,,IFI6,Candidate_drug_or_compound
48,PLX4032 DB05238 human GSE24862 sample 2567,0.00291998527217815,Drug_Perturbations_from_GEO_down,GRAMD1B;PLSCR1;CEACAM1;OAS1;MYOF;CASP4;MIR21;CARD16;DISC1;IFIT3;KCNJ2,34.548115611189,1.9043382209857e-4,GEO drug perturbations (down),PLX4032 DB05238 human GSE24862 sample 2567,2.534619339040585,Plx4032,11,0,1,,IFIT3,Candidate_drug_or_compound
49,methotrexate DB00563 human GSE41831 sample 2600,0.00309988414184484,Drug_Perturbations_from_GEO_down,RSAD2;P2RY14;IFI6;EPSTI1;LAP3;XAF1;DDX60;IFI44L;NAIP,40.6525662262592,2.063781561826e-4,GEO drug perturbations (down),methotrexate DB00563 human GSE41831 sample 2600,2.508654537616614,Methotrexate,9,0,1,,IFI6,Candidate_drug_or_compound
50,cyclosporine DB00091 mouse GSE1809 sample 3299,0.00427170718760734,Drug_Perturbations_from_GEO_down,IFITM3;CD274;RSAD2;IRF1;IFI44;SERPING1;LAP3;IFI35;PARP14;IFIT3,33.7883783099722,2.901974991581e-4,GEO drug perturbations (down),cyclosporine DB00091 mouse GSE1809 sample 3299,2.3693985245105655,Cyclosporine,10,0,2,,IFI35;IFIT3,Candidate_drug_or_compound
51,formaldehyde 712 rat GSE7002 sample 3548,0.00490721556054945,Drug_Perturbations_from_GEO_down,ZBP1;RTP4;RSAD2;DHRS9;PIK3AP1;IFI44L;GBP4;IFIT3;IFIT2;TLR2,32.4430945907435,3.4003803476633e-4,GEO drug perturbations (down),formaldehyde 712 rat GSE7002 sample 3548,2.309164864232056,Formaldehyde 712 Rat,10,0,2,,IFIT3;IFIT2,Candidate_drug_or_compound
52,formaldehyde 712 rat GSE7002 sample 3540,0.00586601309437996,Drug_Perturbations_from_GEO_down,C1QB;SAMD9L;CEACAM1;GBP2;IFIT3;IFIT2;TAPBP;TLR2;SIGLEC5;C1QC,30.8160448773164,4.1444657732032e-4,GEO drug perturbations (down),formaldehyde 712 rat GSE7002 sample 3540,2.2316569719025834,Formaldehyde 712 Rat,10,0,2,,IFIT3;IFIT2,Candidate_drug_or_compound
53,Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,0.00605670728988962,Drug_Perturbations_from_GEO_down,RSAD2;OAS1;TAP2;IFI6;F2RL1;IGF2BP3;IFI44L;ATF3;IFIT3,33.3116724220915,4.3614875864694e-4,GEO drug perturbations (down),Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,2.2177634145251557,Colorectal Adenocarcinoma,9,0,2,,IFI6;IFIT3,Candidate_drug_or_compound
54,quercetin DB04216 mouse GSE4262 sample 3429,0.00684143495579378,Drug_Perturbations_from_GEO_down,ZBP1;IFITM3;IFIH1;RSAD2;GCH1;SCO2;TAP2;UBE2L6;MYL9;IFIT3,29.2952133131016,5.0195310816965e-4,GEO drug perturbations (down),quercetin DB04216 mouse GSE4262 sample 3429,2.1648527976917786,Quercetin,10,0,1,,IFIT3,Candidate_drug_or_compound
55,CADMIUM 23973 human GSE9951 sample 3403,0.00689668095906812,Drug_Perturbations_from_GEO_down,STAT1;IFI44;CARD16;DDX60;IFI44L;IFIT3;TRIM22;IFIT2;LMNB1,31.8134913399317,5.153769738434e-4,GEO drug perturbations (down),CADMIUM 23973 human GSE9951 sample 3403,2.1613598640387535,Cadmium,9,1,3,STAT1,STAT1;IFIT3;IFIT2,Exposure_or_toxicant
56,formaldehyde 712 rat GSE7002 sample 3539,0.00731871894600783,Drug_Perturbations_from_GEO_down,GRAMD1B;RSAD2;DHRS9;IRF1;DAPP1;LHFPL2;PIK3AP1;FCGR1A;IFIT3;SIGLEC5,28.4928722987139,5.5685905023972e-4,GEO drug perturbations (down),formaldehyde 712 rat GSE7002 sample 3539,2.135564930330759,Formaldehyde 712 Rat,10,0,1,,IFIT3,Candidate_drug_or_compound
57,ethanol DB00898 mouse GSE52644 sample 3476,0.00800598211941887,Drug_Perturbations_from_GEO_down,GBP6;IFITM3;C1QB;IFIH1;IRF7;IFI44;IFI44L;IFIT3;C1QC,30.2101963095344,6.2002850653108e-4,GEO drug perturbations (down),ethanol DB00898 mouse GSE52644 sample 3476,2.0965853841842472,Ethanol,9,0,2,,IRF7;IFIT3,Candidate_drug_or_compound
